"method","arm","level","sample_size","effect_size","truth","predicted","n"
"mrgn","truth","edge",300,"medium","M4","Other",0
"mrgn","truth","model",300,"large","M0","M0",20
"mrgn","truth","model",300,"large","M1","M0",0
"mrgn","truth","model",300,"large","M2","M0",0
"mrgn","truth","model",300,"large","M3","M0",0
"mrgn","truth","model",300,"large","M4","M0",0
"mrgn","truth","model",300,"large","M0","M1",0
"mrgn","truth","model",300,"large","M1","M1",20
"mrgn","truth","model",300,"large","M2","M1",3
"mrgn","truth","model",300,"large","M3","M1",0
"mrgn","truth","model",300,"large","M4","M1",16
"mrgn","truth","model",300,"large","M0","M2",0
"mrgn","truth","model",300,"large","M1","M2",0
"mrgn","truth","model",300,"large","M2","M2",17
"mrgn","truth","model",300,"large","M3","M2",0
"mrgn","truth","model",300,"large","M4","M2",0
"mrgn","truth","model",300,"large","M0","M3",0
"mrgn","truth","model",300,"large","M1","M3",0
"mrgn","truth","model",300,"large","M2","M3",0
"mrgn","truth","model",300,"large","M3","M3",20
